time_index,single_objective_soc_kwh,lexicographic_soc_kwh,difference_kwh
63,2367.4140557407395,2367.414059676787,3.936047505703755e-06
64,2548.3402307407396,2548.340234676787,3.936047505703755e-06
65,2751.2057357407393,2751.205739676787,3.936047505703755e-06
66,2970.8140607407395,2970.814064676787,3.936047505703755e-06
67,3720.8140607407395,3720.814064676787,3.936047505703755e-06
68,3966.1824407407394,3966.182444676787,3.936047505703755e-06
69,4222.07132574074,4222.071329676787,3.936047505703755e-06
70,4643.792100000004,4643.792100000004,0.0
71,5393.792100000004,5393.792100000004,0.0
72,6143.792100000004,6143.792100000004,0.0
73,6893.792100000004,6893.792100000004,0.0
74,7643.792100000004,7643.792100000004,0.0
75,8393.792100000004,8393.792100000004,0.0
76,9143.792100000004,9143.792100000004,0.0
77,9417.888690000003,9417.888690000003,0.0
78,9655.945155000003,9655.945155000003,0.0
79,9874.201950000002,9874.201950000002,0.0
80,10074.969975000002,10074.969975000002,0.0
81,10253.853360000001,10253.853360000001,0.0
82,10413.477195000001,10413.477195000001,0.0
83,10550.043465,10550.043465,0.0
84,10658.074995,10658.074995,0.0
85,10737.108,10737.108,0.0
86,10785.37038,10785.37038,0.0
87,10800.0,10800.0,0.0
88,10773.57625925926,10773.57625925926,0.0
89,10698.77624074074,10698.77624074074,0.0
90,10698.77624074074,10698.77624074074,0.0
91,10800.0,10800.0,0.0
92,10800.0,10800.0,0.0
93,10800.0,10800.0,0.0
94,10800.0,10800.0,0.0
95,10800.0,10800.0,0.0
96,10800.0,10800.0,0.0
97,10800.0,10800.0,0.0
98,10800.0,10800.0,0.0
99,10800.0,10800.0,0.0
100,10800.0,10800.0,0.0
101,10800.0,10800.0,0.0
102,10800.0,10800.0,0.0
103,10800.0,10800.0,0.0
104,10800.0,10800.0,0.0
105,10800.0,10800.0,0.0
106,10800.0,10800.0,0.0
107,10800.0,10800.0,0.0
108,10800.0,10800.0,0.0
109,10678.591944444444,10678.591944444444,0.0
110,10678.591944444444,10678.591944444444,0.0
111,10678.591944444444,10678.591944444444,0.0
112,10678.591944444444,10678.591944444444,0.0
113,9895.664981481481,9895.664981481481,0.0
114,9110.682722222222,9110.682722222222,0.0
115,8324.675537037037,8324.675537037037,0.0
116,7537.394425925927,7537.394425925927,0.0
117,6749.120111111112,6749.120111111112,0.0
118,5958.861833333334,5958.861833333334,0.0
119,5168.125722222223,5168.125722222223,0.0
120,4377.631240740741,4377.631240740741,0.0
121,3584.626703703704,3584.626703703704,0.0
122,2789.8665370370372,2789.8665370370372,0.0
123,1995.170037037037,1995.170037037037,0.0
124,1200.0,1200.0,0.0
125,1200.0,1200.0,0.0
126,1200.0,1200.0,0.0
127,1200.0,1200.0,0.0
128,1200.0,1200.0,0.0
129,1200.0,1200.0,0.0
130,1200.0,1200.0,0.0
131,1200.0,1200.0,0.0
132,1950.0,1950.0,0.0
133,2700.0,2700.0,0.0
134,2700.0,2700.0,0.0
135,3450.0,3450.0,0.0
136,4200.0,4200.0,0.0
137,4200.0,4200.0,0.0
138,4950.0,4950.0,0.0
139,4950.0,4950.0,0.0
140,5250.0,4950.0,-300.0
141,6000.0,5700.0,-300.0
142,6000.0,6000.0,0.0
143,6000.0,6000.0,0.0
144,6000.0,6000.0,0.0
