date,train_end_date,residual_history_start_date,residual_history_end_date,soc_open_kwh,soc_close_kwh,normal_purchase_kwh,emergency_purchase_kwh,normal_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,surplus_discard_kwh
2025-03-07,2025-03-06,2025-01-10,2025-03-06,2298.142729493828,4938.564623351851,36490.854320267485,0.0,14803.937001932336,0.0,14803.937001932336,18386.628530212616,12516.789405,9698.729661721534
2025-03-08,2025-03-07,2025-01-11,2025-03-07,4938.564623351851,10596.869786450623,39145.014193113864,0.0,15540.548734655866,0.0,15540.548734655866,21766.301247750336,12538.229363888884,10853.802792585735
2025-03-09,2025-03-08,2025-01-12,2025-03-08,10596.869786450623,7379.559639796298,70770.80144218264,0.0,45344.71969891981,0.0,45344.71969891981,16522.738889176948,16278.997632222225,7193.53513522791
2025-03-10,2025-03-09,2025-01-13,2025-03-09,7379.559639796298,6553.43063415432,72301.28602569271,0.0,47096.64516347737,0.0,47096.64516347737,21349.005799629635,18036.21080277778,946.4195788408649
2025-03-11,2025-03-10,2025-01-14,2025-03-10,6553.43063415432,6687.784418787381,73956.27034217422,20.246053875303005,47017.52562425517,133.7758009810646,47151.30142523623,19894.644987743482,15993.744033902474,6136.696642208504
2025-03-12,2025-03-11,2025-01-15,2025-03-11,6687.784418787381,6655.710492698903,73477.31113885765,61.35110772901294,46240.191261118554,402.3712400407314,46642.562501159286,19509.73690591525,15831.753427270985,7425.144084609052
2025-03-13,2025-03-12,2025-01-16,2025-03-12,6655.710492698903,2151.1200437750344,67115.30714291343,474.59402700863825,43985.671091360826,3047.1261604030774,47032.79725176391,17252.63932861988,18028.769260213583,820.4130848491028
2025-03-14,2025-03-13,2025-01-17,2025-03-13,2151.1200437750344,5461.832300259261,34905.90702997561,0.0,13658.5920546904,0.0,13658.5920546904,19025.801445476296,12431.25814,12281.93774116598
2025-03-15,2025-03-14,2025-01-18,2025-03-14,5461.832300259261,10158.997189092588,36903.153329595334,0.0,14769.111938013393,0.0,14769.111938013393,21997.742923806574,13590.723368333336,7572.008624122091
2025-03-16,2025-03-15,2025-01-19,2025-03-15,10158.997189092588,8485.206353561729,68799.82410769713,1.6400000000001,43435.628301724915,8.081100000000493,43443.70940172492,18948.34862578875,16854.574138866665,3356.6426874417075
2025-03-17,2025-03-16,2025-01-20,2025-03-16,8485.206353561729,6857.604110648148,68715.2453559989,0.0,42366.18112378329,0.0,42366.18112378329,17599.134102908083,15720.140641977781,8978.120461735258
2025-03-18,2025-03-17,2025-01-21,2025-03-17,6857.604110648148,6866.333271722226,69612.1323187216,0.0,42923.4585113245,0.0,42923.4585113245,21394.418048100135,17321.62237399444,4413.378277949241
2025-03-19,2025-03-18,2025-01-22,2025-03-18,6866.333271722226,7808.363992228396,69753.19971360081,0.0,42407.27798151127,0.0,42407.27798151127,22558.22882182441,17424.337697222225,5153.838138998626
2025-03-20,2025-03-19,2025-01-23,2025-03-19,7808.363992228396,2318.4158968237307,62208.918304828534,241.75521485802255,39922.1972091068,1598.9689910709612,41521.166200177766,15590.119049862831,17568.94971625309,2220.542369410142
2025-03-21,2025-03-20,2025-01-24,2025-03-20,2318.4158968237307,5873.599133493827,33968.5015260548,7.935375972222857,13273.098370446249,39.40707707805871,13312.505447524307,19069.850085497637,12246.913656249999,15120.035956112719
2025-03-22,2025-03-21,2025-01-25,2025-03-21,5873.599133493827,10771.30549089506,35186.38447207777,0.0,13867.831638657517,0.0,13867.831638657517,20974.71256875858,12581.581459033336,10912.0536290192
2025-03-23,2025-03-22,2025-01-26,2025-03-22,10771.30549089506,7535.776601777774,62931.5917690878,0.0,39194.59449062499,0.0,39194.59449062499,17314.19175694788,16936.47132333333,3784.1512188065767
2025-03-24,2025-03-23,2025-01-27,2025-03-23,7535.776601777774,6762.719636666667,65012.58423069959,0.0,39993.330138718324,0.0,39993.330138718324,20248.98750652949,17097.431148888885,3862.530789725651
2025-03-25,2025-03-24,2025-01-28,2025-03-24,6762.719636666667,6542.33646453498,65334.49936510288,306.42109978703957,39874.61923688043,1590.9179953841538,41465.537232264585,21548.7664866461,17652.84570910185,794.8749706789976
2025-03-26,2025-03-25,2025-01-29,2025-03-25,6542.33646453498,7581.454756129632,66268.49157467307,0.0,39732.73494908259,0.0,39732.73494908259,21619.340772553725,16576.459563333334,5633.055498786009
2025-03-27,2025-03-26,2025-01-30,2025-03-26,7581.454756129632,2180.0491766481505,59064.69524720165,0.0,36959.2571185885,0.0,36959.2571185885,15036.905528971189,17041.158499999998,2351.9588182304537
2025-03-28,2025-03-27,2025-01-31,2025-03-27,2180.0491766481505,5630.631955333337,32521.6071309465,123.1003478833317,12742.491644736263,393.59858029927045,13136.090225035534,18407.941283456785,11804.907938783332,15219.793367489716
2025-03-29,2025-03-28,2025-02-01,2025-03-28,5630.631955333337,10466.509199555561,34514.82633686667,0.0,13225.378695051731,0.0,13225.378695051731,20768.102985102883,12469.873898133335,18509.388066563784
2025-03-30,2025-03-29,2025-02-02,2025-03-29,10466.509199555561,7688.950228814814,59280.88097020575,0.0,35794.287326380996,0.0,35794.287326380996,18106.896423456776,17166.389176666664,2994.754023415645
2025-03-31,2025-03-30,2025-02-03,2025-03-30,7688.950228814814,6775.618975722222,60355.91011333333,424.65799048353654,36779.74707591702,2840.7496273396177,39620.496703256635,18850.971458497945,16091.285009166668,1069.4921711522547
2025-04-01,2025-03-31,2025-02-04,2025-03-31,6775.618975722222,5934.5830920679,61125.21891917696,1885.039124411107,38210.20749825382,12177.327301279835,50387.53479953365,17786.509862510284,15164.005283922223,178.9019483333334
2025-04-02,2025-04-01,2025-02-05,2025-04-01,5934.5830920679,7277.922337886832,63907.93878387517,2237.2467215148145,38281.76860374367,12445.497966403556,50727.26657014723,22566.22982887517,17069.640840151853,213.2611166666668
2025-04-03,2025-04-02,2025-02-06,2025-04-02,7277.922337886832,2440.7962539444447,57845.21659512574,322.21101214999663,36176.219590908455,1706.49221532139,37882.71180622985,16046.815447286232,17351.333987850005,3608.4158811728403
2025-04-04,2025-04-03,2025-02-07,2025-04-03,2440.7962539444447,5596.1957810370395,31225.653372057608,57.64002260000173,12092.514656076917,180.55079957713897,12273.065455654056,17396.920016604934,11251.645639066666,18707.216767119346
2025-04-05,2025-04-04,2025-02-08,2025-04-04,5596.1957810370395,10509.86265646296,34106.16469206665,0.0,13305.81119747127,0.0,13305.81119747127,20730.961908415644,12369.778957933338,13700.866758251024
2025-04-06,2025-04-05,2025-02-09,2025-04-05,10509.86265646296,7608.197547722224,60221.89141341564,0.0,36776.89669544912,0.0,36776.89669544912,17240.10070839507,16575.980171666666,5147.694610020569
2025-04-07,2025-04-06,2025-02-10,2025-04-06,7608.197547722224,6180.852942407405,60270.28048195473,0.0,36194.71840447595,0.0,36194.71840447595,18130.380870637855,15970.21865,4867.398977983548
2025-04-08,2025-04-07,2025-02-11,2025-04-07,6180.852942407405,6438.2765510555555,61785.30564763375,340.34606954999873,36797.39309199735,1885.8133663525105,38683.20645834986,21599.630051316868,17264.019093783336,3436.847142983546
2025-04-09,2025-04-08,2025-02-12,2025-04-08,6438.2765510555555,7360.32862494856,62312.36768953971,1954.6037381870383,37436.59515451599,12544.033753403992,49980.628907919985,20404.74984930041,15698.00051142963,425.9110731893003
2025-04-10,2025-04-09,2025-02-13,2025-04-09,7360.32862494856,2355.30971103498,57200.96514271147,45.99367343148283,34991.78822188951,294.4427131394086,35286.23093502892,15625.518830098306,17161.18727490185,4321.9893609465
2025-04-11,2025-04-10,2025-02-14,2025-04-10,2355.30971103498,3953.981064740744,29315.170446195705,0.0,11592.570145497277,0.0,11592.570145497277,15456.162781895291,11080.687634999997,19623.045132633742
2025-04-12,2025-04-11,2025-02-15,2025-04-11,3953.981064740744,10709.842920481486,35274.96597872428,0.0,13418.613897685556,0.0,13418.613897685556,20432.29387057613,10469.882364999998,16287.393923148144
2025-04-13,2025-04-12,2025-02-16,2025-04-12,10709.842920481486,7373.672302388889,57997.64864928272,0.0,35456.379763363075,0.0,35456.379763363075,17478.405778374487,17160.06223676667,3402.946624341566
2025-04-14,2025-04-13,2025-02-17,2025-04-13,7373.672302388889,6021.358508611111,59640.17688713601,0.0,35553.46142377143,0.0,35553.46142377143,19142.506620061726,16722.51277665,4692.151243724282
2025-04-15,2025-04-14,2025-02-18,2025-04-14,6021.358508611111,6752.990470537038,61032.702672201645,0.0,35736.87588629779,0.0,35736.87588629779,19698.37145769546,15297.212115,6492.11449617285
2025-04-16,2025-04-15,2025-02-19,2025-04-15,6752.990470537038,6516.475949901234,59363.3873663786,219.38076488354147,35787.06997806406,1496.1768165057529,37283.24679456981,19453.707175000003,15970.365880322219,319.83488658435795
2025-04-17,2025-04-16,2025-02-20,2025-04-16,6516.475949901234,2610.121470407408,55963.5549349657,0.0,33897.74347902539,0.0,33897.74347902539,15335.064076282586,15937.120933333332,3697.269442016451
2025-04-18,2025-04-17,2025-02-21,2025-04-17,2610.121470407408,4348.269705666669,28558.890870946503,0.0,11122.850479743778,0.0,11122.850479743778,14902.160839588476,10506.416868333334,17809.029716358025
2025-04-19,2025-04-18,2025-02-22,2025-04-18,4348.269705666669,10762.029138925922,33992.13379489999,0.0,12764.167029838558,0.0,12764.167029838558,20687.516281934157,10984.504698433338,17504.442961399174
2025-04-20,2025-04-19,2025-02-23,2025-04-19,10762.029138925922,7013.094952703703,55259.34162228396,0.0,33561.59095503076,0.0,33561.59095503076,16552.754673744854,16781.772053333334,3530.6141185391007
2025-04-21,2025-04-20,2025-02-24,2025-04-20,7013.094952703703,6751.383070537037,59974.65423779836,0.0,34935.07423402535,0.0,34935.07423402535,19078.371431337448,15689.021553333332,8068.393976460911
2025-04-22,2025-04-21,2025-02-25,2025-04-21,6751.383070537037,7548.080569296298,59411.497073436214,0.0,35402.64991577249,0.0,35402.64991577249,20836.09664471193,16160.210533333331,2582.6816453909523
2025-04-23,2025-04-22,2025-02-26,2025-04-22,7548.080569296298,6923.131149888888,57745.71570075597,0.0,34755.492842291846,0.0,34755.492842291846,17885.414664567896,15049.640355766665,3510.0246752880685
2025-04-24,2025-04-23,2025-02-27,2025-04-23,6923.131149888888,2560.1175363333336,53417.99990366255,0.0,32555.414844497336,0.0,32555.414844497336,14145.932945843622,15384.917938333334,7566.878196152265
2025-04-25,2025-04-24,2025-02-28,2025-04-24,2560.1175363333336,3880.13150051852,27584.46517783498,0.0,10475.119970804912,0.0,10475.119970804912,14620.131984115225,10654.294339366668,21618.269883086417
2025-04-26,2025-04-25,2025-03-01,2025-04-25,3880.13150051852,10314.373752518519,33534.1247962,0.0,12590.6006045211,0.0,12590.6006045211,20585.8035892181,10883.682880466666,23761.81045411523
2025-04-27,2025-04-26,2025-03-02,2025-04-26,10314.373752518519,6623.790199839506,51453.473066481485,698.2218742555555,30849.50523497336,4576.397768347249,35425.90300332061,15965.407635802472,16253.505382411111,3866.321504012345
2025-04-28,2025-04-27,2025-03-03,2025-04-27,6623.790199839506,6724.1243228703715,55641.557574828534,4603.111473516667,33300.41707761708,29320.374582556506,62620.791660173585,15622.435827832647,12563.872309816667,564.1382136625509
2025-04-29,2025-04-28,2025-03-04,2025-04-28,6724.1243228703715,8269.073716808643,58012.41292341563,399.8444269944432,33866.63808889888,2646.1704178492255,36512.8085067481,19751.773509320985,14608.482088005556,5835.752212427979
2025-04-30,2025-04-29,2025-03-05,2025-04-29,8269.073716808643,8330.491720351854,56911.02602897805,0.0,33340.98010548138,0.0,33340.98010548138,18272.28777554183,14745.276894999997,5127.160715102883
2025-05-01,2025-04-30,2025-03-06,2025-04-30,8330.491720351854,1947.0538569444443,50063.4342160288,2213.909874583335,31574.36997975455,11745.986195673759,43320.35617542831,12961.267057633742,16243.72039375,4548.418626728397
2025-05-02,2025-05-01,2025-03-07,2025-05-01,1947.0538569444443,2817.58889024074,27842.826143374485,2019.323012750001,11171.47813284021,10586.160910054925,21757.639042895134,14524.427696152261,10981.304903916664,12028.706280555556
2025-05-03,2025-05-02,2025-03-08,2025-05-02,2817.58889024074,10072.33438296708,34867.90923069959,1504.528812870366,13464.386638526921,7317.631578663817,20782.018217190736,21043.469430761317,10515.939295462966,16977.7362582716
2025-05-04,2025-05-03,2025-03-09,2025-05-03,10072.33438296708,7574.936727623456,55991.08023786049,1517.273457777777,34384.57521138976,8929.373866787679,43313.94907817744,15382.930603395056,14707.831678559258,5098.587437469138
2025-05-05,2025-05-04,2025-03-10,2025-05-04,7574.936727623456,4691.710015253086,56595.771375912205,1562.3751103444413,34399.01590311561,10045.708753176155,44444.724656291764,18080.957345912204,17240.47949132222,2241.661831666668
2025-05-06,2025-05-05,2025-03-11,2025-05-05,4691.710015253086,7583.080269765431,63728.911159615905,1362.421375555553,37946.16841083255,8042.527760864707,45988.69617169726,24076.047598978053,16899.36532611111,5044.567895637854
2025-05-07,2025-05-06,2025-03-12,2025-05-06,7583.080269765431,7515.4467531111095,60986.57025495199,1797.4948900499974,36739.66081091871,11839.531847707849,48579.192658626554,19208.197481433468,15619.510124950004,4127.531838518522
2025-05-08,2025-05-07,2025-03-13,2025-05-07,7515.4467531111095,1999.0931780411522,54595.74664020577,539.2341287870368,34663.94709726804,2883.681979994668,37547.62907726271,13893.25354509958,16218.253589093621,1633.4684129868458
2025-05-09,2025-05-08,2025-03-14,2025-05-08,1999.0931780411522,2973.2300594074086,28611.189444804113,513.3232280833332,11662.389989289524,2467.8812652272914,14130.271254516816,14306.396315288068,10711.457822153705,17030.188329753088
2025-05-10,2025-05-09,2025-03-15,2025-05-09,2973.2300594074086,9968.431887164608,36152.00750653333,350.6814539814816,14560.251631476582,1721.7378816957644,16281.989513172346,20942.349340905355,10667.621321151852,14106.91565742798
2025-05-11,2025-05-10,2025-03-16,2025-05-10,9968.431887164608,6393.534424748971,58516.837665002284,589.1337118907376,36158.5262278339,4043.119158404619,40201.64538623852,14749.623413911753,15164.602681442597,4036.871561090536
2025-05-12,2025-05-11,2025-03-17,2025-05-11,6393.534424748971,6614.559553018518,63669.17746828304,504.11793381666536,38721.53611883149,3304.4225893482303,42025.95870817972,16742.95316455875,13362.869447849998,8862.016452057622
2025-05-13,2025-05-12,2025-03-18,2025-05-12,6614.559553018518,6797.510901255144,62929.76701434155,290.6820993462972,37985.93342728268,1909.66649622513,39895.59992350781,19195.093441234567,15383.369473987035,6279.512379773658
2025-05-14,2025-05-13,2025-03-19,2025-05-13,6797.510901255144,8682.888025713992,64769.42260348194,364.45283257592354,38406.746559214494,2547.0670638357274,40953.81362305022,20147.85593140375,14622.923892424076,6594.794613744854
2025-05-15,2025-05-14,2025-03-20,2025-05-14,8682.888025713992,2843.738838962964,55336.8973935071,0.0,35132.23707071481,0.0,35132.23707071481,12101.004979741661,15057.048301666666,5527.882432098764
2025-05-16,2025-05-15,2025-03-21,2025-05-15,2843.738838962964,3799.1654889629644,29009.88858826667,0.0,12056.006652287215,0.0,12056.006652287215,13655.841337530865,10201.3474984,22839.88821580247
2025-05-17,2025-05-16,2025-03-22,2025-05-16,3799.1654889629644,10475.349529199588,35778.879415761316,143.609074412959,14710.091264347579,855.8942423383415,15565.98550668592,20620.55343843621,10694.082648920372,15547.218617325107
2025-05-18,2025-05-17,2025-03-23,2025-05-17,10475.349529199588,5709.661720814817,55491.558308650005,0.0,35096.32460019039,0.0,35096.32460019039,13825.803537160496,15488.019892646298,3477.606564135802
2025-05-19,2025-05-18,2025-03-24,2025-05-18,5709.661720814817,6820.3351494074095,62396.87886452675,12.233166666666762,37551.54162889646,83.24669916666731,37634.78832806313,18625.430204609045,14086.99238,10355.457656584367
2025-05-20,2025-05-19,2025-03-25,2025-05-19,6820.3351494074095,5940.583711755143,59363.106755226334,66.94210962962859,36352.59619098291,447.57494498369675,36800.17113596661,17508.52931458848,14973.685038703705,2367.8097723045216
2025-05-21,2025-05-20,2025-03-26,2025-05-20,5940.583711755143,7481.244951703704,62577.63373101281,60.29056761666459,37985.695407702246,384.8471453639271,38370.542553066174,18728.97852675354,13783.877490716666,6330.2079792592685
2025-05-22,2025-05-21,2025-03-27,2025-05-21,7481.244951703704,2629.862054222223,54853.83721121399,0.0,34813.66452053425,0.0,34813.66452053425,11635.733893744855,13791.189061666666,6192.6615624691385
2025-05-23,2025-05-22,2025-03-28,2025-05-22,2629.862054222223,3975.157006981484,28637.3354462,0.0,12085.056431718367,0.0,12085.056431718367,13837.860081831277,9997.901208800002,18376.427689835393
2025-05-24,2025-05-23,2025-03-29,2025-05-23,3975.157006981484,10800.0,36194.751702049994,0.0,14971.275156178966,0.0,14971.275156178966,20950.63787654321,10827.657986283335,22317.27042845679
2025-05-25,2025-05-24,2025-03-30,2025-05-24,10800.0,5155.689784425926,54308.212567716044,0.0,34810.44798102557,0.0,34810.44798102557,10856.502534135809,13873.646246666667,8780.346096913572
2025-05-26,2025-05-25,2025-03-31,2025-05-25,5155.689784425926,5223.231101037041,59211.59081425926,0.0,36308.681524094914,0.0,36308.681524094914,18785.748018456783,15155.668709999998,1001.6785558024717
2025-05-27,2025-05-26,2025-04-01,2025-05-26,5223.231101037041,6499.849385685185,61854.33194343127,0.0,37581.23322136676,0.0,37581.23322136676,18580.279662037025,13901.070070066664,7784.755051460912
2025-05-28,2025-05-27,2025-04-02,2025-05-27,6499.849385685185,6053.220548055558,59235.6570224074,0.0,36675.32938666604,0.0,36675.32938666604,18042.57550345678,15016.452111666666,3935.70953061729
2025-05-29,2025-05-28,2025-04-03,2025-05-28,6053.220548055558,2485.005964740742,55236.010669588475,17.817433333333497,34990.81848836692,119.80442173333444,35110.622910100254,14789.296351872425,15190.72317,1545.1314210493802
2025-05-30,2025-05-29,2025-04-04,2025-05-29,2485.005964740742,3380.1234703148175,28240.6196384,0.0,12246.3137296612,0.0,12246.3137296612,13211.140094588478,9895.4177216,18328.66399874485
2025-05-31,2025-05-30,2025-04-05,2025-05-30,3380.1234703148175,10704.021666666667,37102.82168671666,0.0,14877.721193528649,0.0,14877.721193528649,21281.294944444446,10646.340528283337,18078.68572055555
2025-06-01,2025-05-31,2025-04-06,2025-05-31,10704.021666666667,3531.0065560679013,55863.13150078189,10441.259402545678,38871.2975907984,68310.37172152328,107181.66931232167,8032.771120349792,12962.258207022223,9.051689999999894
2025-06-02,2025-06-01,2025-04-07,2025-06-01,3531.0065560679013,2561.429125932097,65402.92051930727,6860.91522754054,43059.69646526128,44891.20366707815,87950.90013233943,19084.319099842247,16330.918157994434,869.6273550000009
2025-06-03,2025-06-02,2025-04-08,2025-06-02,2561.429125932097,3728.0731495123455,70026.21514924355,3774.4524393111124,46047.218261197915,23351.229554008176,69398.44781520609,22535.009319293553,17203.377927405552,276.6693633333333
2025-06-04,2025-06-03,2025-04-09,2025-06-03,3728.0731495123455,3605.5416058806572,70477.66519589347,3188.3598802092533,46771.94334179559,21123.284752638887,67895.22809443448,20978.38848441015,17102.773061640746,145.14883666666617
2025-06-05,2025-06-04,2025-04-10,2025-06-04,3605.5416058806572,1200.0,69082.92804708733,4056.678343566665,47024.147759868676,23146.773715484916,70170.92147535359,18576.573517869227,17212.011994766668,625.7268508847739
2025-06-06,2025-06-05,2025-04-11,2025-06-05,1200.0,1438.3272773641975,31708.422716995883,4568.74567421111,15273.332403357874,23027.542331026045,38300.87473438392,13644.899021090536,10837.87365745556,2615.1476275720174
2025-06-07,2025-06-06,2025-04-12,2025-06-06,1438.3272773641975,9976.854858448558,41645.94174120027,2693.5349760870354,19483.84530749313,12621.101447625544,32104.946755118675,22225.57056611797,10318.03733557963,1305.430320082304
2025-06-08,2025-06-07,2025-04-13,2025-06-07,9976.854858448558,3529.7150422962955,74008.71109616826,79.2877800000017,51334.58428002434,551.1228876766786,51885.70716770102,10291.796049954275,14138.780635000003,12750.060194547324
2025-06-09,2025-06-08,2025-04-14,2025-06-08,3529.7150422962955,3058.7811477654323,79188.12673065843,881.8074352888891,54328.45477898478,6239.716729852468,60568.171508837244,20408.095618888885,16954.397956377776,5683.523770102888
2025-06-10,2025-06-09,2025-04-15,2025-06-09,3058.7811477654323,3600.845707827161,81384.96195832647,39.10635906111274,55717.60693390303,221.76163963385827,55939.368573536885,21961.669722215363,17301.09437093889,5145.048732777773
2025-06-11,2025-06-10,2025-04-16,2025-06-10,3600.845707827161,2320.5488996337435,79588.05512321673,1315.6137433870326,54737.48826149182,7958.542577350506,62696.03083884232,22025.904813875168,18993.250026612965,1786.5677626748982
2025-06-12,2025-06-11,2025-04-17,2025-06-11,2320.5488996337435,1736.882633592594,80181.9773770736,0.0,55435.79912736696,0.0,55435.79912736696,19920.420122094187,16660.83993833333,4470.005759979426
