date,train_end_date,residual_history_start_date,residual_history_end_date,soc_open_kwh,soc_close_kwh,original_purchase_kwh,effective_purchase_kwh,upward_adjustment_kwh,downward_adjustment_kwh,emergency_purchase_kwh,base_plan_cost_yuan,downward_credit_yuan,upward_adjustment_cost_yuan,normal_settlement_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,surplus_discard_kwh,net_adjustment_cost_yuan,gross_adjustment_fee_yuan,settlement_kind,downward_component_yuan
2025-02-11,2025-02-10,2025-01-02,2025-02-10,9121.483905364197,8963.634111281479,89203.03598766803,89203.03598766803,0.0,0.0,0.0,56483.478178084515,0.0,0.0,56483.478178084515,0.0,56483.478178084515,21990.84478119753,17954.649087444446,9946.243160581618,0.0,0.0,refund,0.0
2025-02-12,2025-02-11,2025-01-02,2025-02-11,8963.634111281479,9108.797407475307,89399.66444357613,89399.66444357613,0.0,0.0,0.0,56383.255523828586,0.0,0.0,56383.255523828586,0.0,56383.255523828586,21202.145725537728,17043.091071111114,9973.87365581618,0.0,0.0,refund,0.0
2025-02-13,2025-02-12,2025-01-02,2025-02-12,9108.797407475307,8574.512291879011,83460.18957240054,83460.18957240054,0.0,0.0,0.0,52146.328615121776,0.0,0.0,52146.32861512178,0.0,52146.32861512178,19119.38575701921,15967.559067222228,8978.883865936896,0.0,0.0,refund,0.0
2025-02-14,2025-02-13,2025-01-02,2025-02-13,8574.512291879011,8349.787236001233,39823.63373701509,39823.63373701509,0.0,0.0,0.0,20438.446265992665,0.0,0.0,20438.446265992665,0.0,20438.446265992665,18160.631841480114,14912.36434188889,6773.564420757199,0.0,0.0,refund,0.0
2025-02-15,2025-02-14,2025-01-02,2025-02-14,8349.787236001233,8854.233453064197,40659.601044661176,40659.601044661176,0.0,0.0,0.0,21127.423941553025,0.0,0.0,21127.42394155303,0.0,21127.42394155303,18387.61073939781,14439.963103555554,7431.86230881893,0.0,0.0,refund,0.0
2025-02-16,2025-02-15,2025-01-02,2025-02-15,8854.233453064197,8905.019014081483,89100.36585203977,89100.36585203977,0.0,0.0,0.0,55944.681302234254,0.0,0.0,55944.681302234254,0.0,55944.681302234254,21597.407495231815,17448.193066222222,9573.772323030185,0.0,0.0,refund,0.0
2025-02-17,2025-02-16,2025-01-02,2025-02-16,8905.019014081483,8864.700615740743,89022.12641329766,89022.12641329766,0.0,0.0,0.0,55398.26074282847,0.0,0.0,55398.26074282847,0.0,55398.26074282847,19159.672025163236,15555.620898888887,14234.212120356646,0.0,0.0,refund,0.0
2025-02-18,2025-02-17,2025-01-02,2025-02-17,8864.700615740743,9026.555743018518,79719.34666184636,79719.34666184636,0.0,0.0,12.7897999999999,49462.72305586947,0.0,0.0,49462.72305586947,56.35232843333287,49519.07538430281,21599.773332366247,17350.146784666667,3391.1221308134427,0.0,0.0,refund,0.0
2025-02-19,2025-02-18,2025-01-02,2025-02-18,9026.555743018518,8631.87861601605,79833.32681353096,79833.32681353096,0.0,0.0,0.0,49685.14691127494,0.0,0.0,49685.14691127494,0.0,49685.14691127494,22022.761874842254,18193.646532924446,3124.8840882798268,0.0,0.0,refund,0.0
2025-02-20,2025-02-19,2025-01-02,2025-02-19,8631.87861601605,8063.304494201234,82503.5211409218,82503.5211409218,0.0,0.0,15.793727222222174,51166.816100189244,0.0,0.0,51166.81610018924,73.97781830888866,51240.79391849812,19629.21304914952,16411.379279444445,8308.347365105623,0.0,0.0,refund,0.0
2025-02-21,2025-02-20,2025-01-02,2025-02-20,8063.304494201234,7741.003204056791,35604.35728507819,35604.35728507819,0.0,0.0,0.0,18365.069552905254,0.0,0.0,18365.069552905254,0.0,18365.069552905254,17279.015096272975,14286.073389111112,7051.153544582992,0.0,0.0,refund,0.0
2025-02-22,2025-02-21,2025-01-02,2025-02-21,7741.003204056791,8793.690990401235,37207.7048425766,37207.7048425766,0.0,0.0,0.0,19352.362838555226,0.0,0.0,19352.362838555226,0.0,19352.362838555226,18890.568033916323,14353.941099762224,4826.315025089165,0.0,0.0,refund,0.0
2025-02-23,2025-02-22,2025-01-02,2025-02-22,8793.690990401235,8741.621264409878,81713.90061210183,81713.90061210183,0.0,0.0,18.482305666666548,50461.7169559629,0.0,0.0,50461.71695596289,85.71410749488834,50547.43106345778,22555.60231462826,18316.90062824111,5961.827548048008,0.0,0.0,refund,0.0
2025-02-24,2025-02-23,2025-01-02,2025-02-23,8741.621264409878,8933.487851080243,78424.57276557064,78424.57276557064,0.0,0.0,52.39974177777788,48710.04239659141,0.0,0.0,48710.0423965914,237.51779958100047,48947.5601961724,21041.96913374897,16871.315070333334,6103.284827266116,0.0,0.0,refund,0.0
2025-02-25,2025-02-24,2025-01-02,2025-02-24,8933.487851080243,8791.700730808643,80840.31043427186,80840.31043427186,0.0,0.0,52.41323333333344,49984.273993680494,0.0,0.0,49984.273993680494,233.16785505000047,50217.441848730494,18620.822502197538,15210.474635024446,11661.052567098759,0.0,0.0,refund,0.0
2025-02-26,2025-02-25,2025-01-02,2025-02-25,8791.700730808643,8745.2105538,74174.52786472018,74174.52786472018,0.0,0.0,40.79195457999742,45290.79129915695,0.0,0.0,45290.79129915695,213.5722633885063,45504.363562545455,22423.401515227706,18204.79638664222,1181.8666573813448,0.0,0.0,refund,0.0
2025-02-27,2025-02-26,2025-01-02,2025-02-26,8745.2105538,7329.485727709879,73784.6830503731,73784.6830503731,0.0,0.0,10.682676666667021,45620.07384840015,0.0,0.0,45620.07384840014,47.846384159446075,45667.92023255959,21114.83183452263,18377.16612944445,4101.1158219615945,0.0,0.0,refund,0.0
2025-02-28,2025-02-27,2025-01-03,2025-02-27,7329.485727709879,7172.186950580252,34249.10611259197,34249.10611259197,0.0,0.0,0.0,17844.5617346676,0.0,0.0,17844.561734667604,0.0,17844.561734667604,16966.596602153633,13884.512147161113,7874.42810759945,0.0,0.0,refund,0.0
2025-03-01,2025-02-28,2025-01-04,2025-02-28,7172.186950580252,8996.355415858026,41586.624703155,41586.624703155,0.0,0.0,0.0,21161.494117075003,0.0,0.0,21161.494117075003,0.0,21161.494117075003,18200.498207647463,13100.651929444444,12828.01249161865,0.0,0.0,refund,0.0
2025-03-02,2025-03-01,2025-01-05,2025-03-01,8996.355415858026,8644.513379253087,84013.62479904664,84013.62479904664,0.0,0.0,0.0,52149.86706778728,0.0,0.0,52149.86706778729,0.0,52149.86706778729,22296.018572496567,18376.432876666666,7735.732036550065,0.0,0.0,refund,0.0
2025-03-03,2025-03-02,2025-01-06,2025-03-02,8644.513379253087,8596.808268351853,86286.960516941,86286.960516941,0.0,0.0,365.4133539666686,53504.97179019044,0.0,0.0,53504.97179019043,2339.5807621823133,55844.55255237274,21396.671312208502,17374.238362699994,10612.794288065845,0.0,0.0,refund,0.0
2025-03-04,2025-03-03,2025-01-07,2025-03-03,8596.808268351853,8674.525830537035,77122.77745380657,77122.77745380657,0.0,0.0,0.0,47473.882138639645,0.0,0.0,47473.88213863964,0.0,47473.88213863964,21891.125621220854,17661.865947222224,3694.0598464746117,0.0,0.0,refund,0.0
2025-03-05,2025-03-04,2025-01-08,2025-03-04,8674.525830537035,8784.146254660493,80862.93329520576,80862.93329520576,0.0,0.0,0.0,49818.00133013477,0.0,0.0,49818.00133013477,0.0,49818.00133013477,20104.869239423875,16186.285702222223,10813.877741337445,0.0,0.0,refund,0.0
2025-03-06,2025-03-05,2025-01-09,2025-03-05,8784.146254660493,7071.984406265436,73734.2923516118,73734.2923516118,0.0,0.0,0.0,45489.64086815344,0.0,0.0,45489.64086815344,0.0,45489.64086815344,19531.016481893002,17361.06901388889,5623.69075027435,0.0,0.0,refund,0.0
2025-03-07,2025-03-06,2025-01-10,2025-03-06,7071.984406265436,6648.987355648146,34248.80423280418,34248.80423280418,0.0,0.0,0.0,18141.422658754756,0.0,0.0,18141.422658754756,0.0,18141.422658754756,14961.68761454046,12499.664313333333,10864.495398263718,0.0,0.0,refund,0.0
2025-03-08,2025-03-07,2025-01-11,2025-03-07,6648.987355648146,8980.946225746917,35140.64805658333,35140.64805658333,0.0,0.0,0.0,18039.7529035189,0.0,0.0,18039.7529035189,0.0,18039.7529035189,18319.516077304528,12740.045039527773,10498.037502139914,0.0,0.0,refund,0.0
2025-03-09,2025-03-08,2025-01-12,2025-03-08,8980.946225746917,8802.548143129628,78305.07677759259,78305.07677759259,0.0,0.0,0.0,47881.818410247666,0.0,0.0,47881.81841024767,0.0,47881.81841024767,20444.131681179693,16720.30493611111,11247.72498252401,0.0,0.0,refund,0.0
2025-03-10,2025-03-09,2025-01-13,2025-03-09,8802.548143129628,8807.519079543208,75120.95700390261,75120.95700390261,0.0,0.0,0.0,45556.55595001465,0.0,0.0,45556.55595001465,0.0,45556.55595001465,21946.947845672155,17772.553912222225,2904.4916204526735,0.0,0.0,refund,0.0
2025-03-11,2025-03-10,2025-01-14,2025-03-10,8807.519079543208,8682.953505376543,66678.74255207818,66678.74255207818,0.0,0.0,2002.4734414055579,40726.49310285156,0.0,0.0,40726.493102851564,13639.209702583905,54365.70280543547,19413.239088696842,15836.832678594445,1165.8907833813478,0.0,0.0,refund,0.0
2025-03-12,2025-03-11,2025-01-15,2025-03-11,8682.953505376543,8781.81680710494,76575.17206569272,76575.17206569272,0.0,0.0,0.0,46861.30169694855,0.0,0.0,46861.30169694855,0.0,46861.30169694855,20059.7571377229,16159.426309999997,10239.306554636489,0.0,0.0,refund,0.0
2025-03-13,2025-03-12,2025-01-16,2025-03-12,8781.81680710494,5771.382467314815,72867.72955581619,72867.72955581619,0.0,0.0,87.1967544444434,44949.907779576155,0.0,0.0,44949.907779576155,598.2610254394372,45548.16880501559,17142.464791865576,16594.787387222223,4861.630888950608,0.0,0.0,refund,0.0
2025-03-14,2025-03-13,2025-01-17,2025-03-13,5771.382467314815,5572.037043438272,31262.676025274348,31262.676025274348,0.0,0.0,0.0,16075.61770923214,0.0,0.0,16075.617709232138,0.0,16075.617709232138,15212.295482386828,12501.37022222222,12522.324781776408,0.0,0.0,refund,0.0
2025-03-15,2025-03-14,2025-01-18,2025-03-14,5572.037043438272,8454.078686425923,34604.67885526749,34604.67885526749,0.0,0.0,34.55950707777553,17400.617668451876,0.0,0.0,17400.617668451876,179.72691715698335,17580.34458560886,19068.59688607681,12851.725999033333,7498.242325301786,0.0,0.0,refund,0.0
2025-03-16,2025-03-15,2025-01-19,2025-03-15,8454.078686425923,9034.239405839506,72585.6977447531,72585.6977447531,0.0,0.0,1.6400000000001,44377.5801382816,0.0,0.0,44377.5801382816,7.461180000000455,44385.0413182816,21493.678685493825,16887.73508777778,4630.347213703712,0.0,0.0,refund,0.0
2025-03-17,2025-03-16,2025-01-20,2025-03-16,9034.239405839506,8808.4379615,67480.0011680122,67480.0011680122,0.0,0.0,68.40224098888325,40284.90152805619,0.0,0.0,40284.90152805619,477.17403313844954,40762.07556119464,21152.998356385455,17337.149968577785,5874.423587860085,0.0,0.0,refund,0.0
2025-03-18,2025-03-17,2025-01-21,2025-03-17,8808.4379615,8896.147704055555,76278.91991944444,76278.91991944444,0.0,0.0,0.0,46700.423925740666,0.0,0.0,46700.423925740666,0.0,46700.423925740666,18912.493888161865,15240.18128111111,11480.648945727022,0.0,0.0,refund,0.0
2025-03-19,2025-03-18,2025-01-22,2025-03-18,8896.147704055555,8690.668429703703,62769.8501048834,62769.8501048834,0.0,0.0,1113.9830365611137,38408.005093272004,0.0,0.0,38408.005093272004,7678.328785386431,46086.333878658435,19820.475721358016,16239.516681216666,837.4036513031579,0.0,0.0,refund,0.0
2025-03-20,2025-03-19,2025-01-23,2025-03-19,8690.668429703703,5221.344702283951,67467.14334156379,67467.14334156379,0.0,0.0,373.0880972222243,41948.54715991371,0.0,0.0,41948.54715991371,1829.8278812736219,43778.375041187326,18068.51132618656,17757.885528888888,5320.643824821668,0.0,0.0,refund,0.0
2025-03-21,2025-03-20,2025-01-24,2025-03-20,5221.344702283951,4839.7923109259245,29458.684680303842,29458.684680303842,0.0,0.0,0.0,15244.184021655758,0.0,0.0,15244.18402165576,0.0,15244.18402165576,14895.285938751713,12408.578762611112,14938.512987496573,0.0,0.0,refund,0.0
2025-03-22,2025-03-21,2025-01-25,2025-03-21,4839.7923109259245,9168.852501734566,35270.93741281207,35270.93741281207,0.0,0.0,0.0,18004.60754832579,0.0,0.0,18004.60754832579,0.0,18004.60754832579,19212.423444519893,11665.908818333333,11843.22305329218,0.0,0.0,refund,0.0
2025-03-23,2025-03-22,2025-01-26,2025-03-22,9168.852501734566,8722.337349512349,71739.95309510287,71739.95309510287,0.0,0.0,0.0,43756.41961763858,0.0,0.0,43756.41961763858,0.0,43756.41961763858,19300.837878875176,16035.542318888887,9704.937418449928,0.0,0.0,refund,0.0
2025-03-24,2025-03-23,2025-01-27,2025-03-23,8722.337349512349,8949.476055864194,68154.53124429355,68154.53124429355,0.0,0.0,0.0,41045.94335485907,0.0,0.0,41045.94335485907,0.0,41045.94335485907,21048.81923682442,16845.11874611111,5952.333670246909,0.0,0.0,refund,0.0
2025-03-25,2025-03-24,2025-01-28,2025-03-24,8949.476055864194,8614.103633555558,74979.52326820989,74979.52326820989,0.0,0.0,0.0,45632.44003126294,0.0,0.0,45632.44003126294,0.0,45632.44003126294,19665.709501961606,16231.05987666667,10594.748926248274,0.0,0.0,refund,0.0
2025-03-26,2025-03-25,2025-01-29,2025-03-25,8614.103633555558,8757.309665283952,64948.65068343621,64948.65068343621,0.0,0.0,372.39422999999886,39335.95088709874,0.0,0.0,39335.95088709874,1905.0319203999939,41240.98280749874,21599.91280617283,17367.04394444445,5495.621185041155,0.0,0.0,refund,0.0
2025-03-27,2025-03-26,2025-01-30,2025-03-26,8757.309665283952,4668.846802253088,64133.388626289445,64133.388626289445,0.0,0.0,0.0,39834.92570426657,0.0,0.0,39834.92570426658,0.0,39834.92570426658,15426.068154931407,16174.731782222221,6165.062853580252,0.0,0.0,refund,0.0
2025-03-28,2025-03-27,2025-01-31,2025-03-27,4668.846802253088,4616.63765454321,29699.144525603566,29699.144525603566,0.0,0.0,0.0,15191.358962264261,0.0,0.0,15191.358962264263,0.0,15191.358962264263,14782.16577620713,12020.542511666667,16115.640494396437,0.0,0.0,refund,0.0
2025-03-29,2025-03-28,2025-02-01,2025-03-28,4616.63765454321,8725.410324,33425.10671467078,33425.10671467078,0.0,0.0,196.56892066666887,16543.858956471482,0.0,0.0,16543.858956471482,1201.6258120353468,17745.484768506827,19090.379906255144,11765.312321555555,18589.398867304528,0.0,0.0,refund,0.0
2025-03-30,2025-03-29,2025-02-02,2025-03-29,8725.410324,8884.972158913582,67365.66638503429,67365.66638503429,0.0,0.0,0.0,40301.57135115324,0.0,0.0,40301.571351153245,0.0,40301.571351153245,20681.12169722908,16608.102923333332,7947.0279111385435,0.0,0.0,refund,0.0
2025-03-31,2025-03-30,2025-02-03,2025-03-30,8884.972158913582,8761.03756551852,58268.23336210562,58268.23336210562,0.0,0.0,2369.997470272223,35443.07495959234,0.0,0.0,35443.07495959234,16115.503658777609,51558.578618369946,18384.6556736694,15003.112229727774,305.2979051028816,0.0,0.0,refund,0.0
2025-04-01,2025-03-31,2025-02-04,2025-03-31,8761.03756551852,8701.63762688889,71606.86106446502,71606.86106446502,0.0,0.0,0.0,42525.01758676131,0.0,0.0,42525.01758676131,0.0,42525.01758676131,19470.875350082293,15824.868978333332,7752.003176049388,0.0,0.0,refund,0.0
2025-04-02,2025-04-01,2025-02-05,2025-04-01,8701.63762688889,8672.45961757407,68050.05483012344,68050.05483012344,0.0,0.0,0.0,40700.42549225967,0.0,0.0,40700.42549225967,0.0,40700.42549225967,20510.638569211245,16639.877449444444,3743.9583103566515,0.0,0.0,refund,0.0
2025-04-03,2025-04-02,2025-02-06,2025-04-02,8672.45961757407,4203.74024121605,64084.765031117975,64084.765031117975,0.0,0.0,0.0,40051.63690410405,0.0,0.0,40051.63690410405,0.0,40051.63690410405,14450.322917901238,15726.609002222223,9497.520848772294,0.0,0.0,refund,0.0
2025-04-04,2025-04-03,2025-02-07,2025-04-03,4203.74024121605,4325.918977104938,27994.629397633747,27994.629397633747,0.0,0.0,0.0,14165.605428139268,0.0,0.0,14165.605428139268,0.0,14165.605428139268,14321.366376639231,11490.345902777779,18732.80667377229,0.0,0.0,refund,0.0
2025-04-05,2025-04-04,2025-02-08,2025-04-04,4325.918977104938,8775.687914006174,32824.102802272224,32824.102802272224,0.0,0.0,0.0,16174.310142915416,0.0,0.0,16174.310142915418,0.0,16174.310142915418,19294.89350458848,11624.071695505554,13109.166009855962,0.0,0.0,refund,0.0
2025-04-06,2025-04-05,2025-02-09,2025-04-05,8775.687914006174,8752.251648432099,65808.20425707132,65808.20425707132,0.0,0.0,0.0,38842.1886411718,0.0,0.0,38842.1886411718,0.0,38842.1886411718,20683.936759101514,16775.08141388889,7489.272645192034,0.0,0.0,refund,0.0
2025-04-07,2025-04-06,2025-02-10,2025-04-06,8752.251648432099,8645.793153018516,57654.685511786556,57654.685511786556,0.0,0.0,568.4184544555499,34321.14789624386,0.0,0.0,34321.14789624386,3965.2871382819158,38286.43503452578,20367.631736165975,16593.594352166667,1206.3472989094685,0.0,0.0,refund,0.0
2025-04-08,2025-04-07,2025-02-11,2025-04-07,8645.793153018516,8652.306817271608,67099.88601687929,67099.88601687929,0.0,0.0,0.0,40345.73594170214,0.0,0.0,40345.73594170214,0.0,40345.73594170214,19962.44622091221,16163.719141111109,8947.96532041152,0.0,0.0,refund,0.0
2025-04-09,2025-04-08,2025-02-12,2025-04-08,8652.306817271608,8762.70192182716,65478.65587268861,65478.65587268861,0.0,0.0,0.0,39091.89613284629,0.0,0.0,39091.8961328463,0.0,39091.8961328463,21342.605103827154,17188.154539999996,2189.894292194784,0.0,0.0,refund,0.0
2025-04-10,2025-04-09,2025-02-13,2025-04-09,8762.70192182716,4141.103106364195,58263.19265628258,58263.19265628258,0.0,0.0,0.0,36349.631527218036,0.0,0.0,36349.631527218036,0.0,36349.631527218036,15563.649884053495,16765.99534,5004.900212229082,0.0,0.0,refund,0.0
2025-04-11,2025-04-10,2025-02-14,2025-04-10,4141.103106364195,3760.0666912037022,26427.42738993066,26427.42738993066,0.0,0.0,206.80204655555605,13180.477062270369,0.0,0.0,13180.477062270369,844.7739530803353,14025.251015350705,14032.333211213994,11709.122674727776,18994.368733333333,0.0,0.0,refund,0.0
2025-04-12,2025-04-11,2025-02-15,2025-04-11,3760.0666912037022,9039.169990413584,33883.57887058985,33883.57887058985,0.0,0.0,0.0,16919.055280375287,0.0,0.0,16919.05528037529,0.0,16919.05528037529,18860.22499020576,10525.589272777777,16523.782603161864,0.0,0.0,refund,0.0
2025-04-13,2025-04-12,2025-02-16,2025-04-12,9039.169990413584,8940.113426339509,60918.1054239849,60918.1054239849,0.0,0.0,0.0,36207.34477392313,0.0,0.0,36207.34477392313,0.0,36207.34477392313,20401.689794375845,16614.519641111106,2854.576787386836,0.0,0.0,refund,0.0
2025-04-14,2025-04-13,2025-02-17,2025-04-13,8940.113426339509,8681.390226166666,64303.45410340878,64303.45410340878,0.0,0.0,32.8461799999983,38658.52510001879,0.0,0.0,38658.52510001879,229.13495167998812,38887.66005169878,19039.838581426608,15655.12013111111,8423.550033093274,0.0,0.0,refund,0.0
2025-04-15,2025-04-14,2025-02-18,2025-04-14,8681.390226166666,8747.928788166666,56468.071837565156,56468.071837565156,0.0,0.0,797.2962604444486,33536.2104846069,0.0,0.0,33536.2104846069,5547.423372428417,39083.63385703532,19836.549852976677,16007.720675111112,3297.1100868107023,0.0,0.0,refund,0.0
2025-04-16,2025-04-15,2025-02-19,2025-04-15,8747.928788166666,8565.48528874074,63004.74589585047,63004.74589585047,0.0,0.0,28.930378757478024,36895.64259258006,0.0,0.0,36895.642592580065,201.8183222121667,37097.46091479223,20052.5780310631,16406.787354644446,3608.293648189297,0.0,0.0,refund,0.0
2025-04-17,2025-04-16,2025-02-20,2025-04-16,8565.48528874074,3775.539423160494,50951.59136286008,50951.59136286008,0.0,0.0,442.51052657778536,32056.67728126276,0.0,0.0,32056.677281262757,3086.9534334066307,35143.63071466939,14496.99237786008,16053.515105088882,82.28226666666671,0.0,0.0,refund,0.0
2025-04-18,2025-04-17,2025-02-21,2025-04-17,3775.539423160494,3938.2964772962973,26535.571477543755,26535.571477543755,0.0,0.0,0.0,13256.250190983352,0.0,0.0,13256.250190983352,0.0,13256.250190983352,13342.293497407409,10660.77638417778,17499.937180980796,0.0,0.0,refund,0.0
2025-04-19,2025-04-18,2025-02-22,2025-04-18,3938.2964772962973,8836.49697435185,32058.756935211106,32058.756935211106,0.0,0.0,0.0,15317.264281259679,0.0,0.0,15317.264281259677,0.0,15317.264281259677,18908.92296834705,10907.847157011114,17273.00187387517,0.0,0.0,refund,0.0
2025-04-20,2025-04-19,2025-02-23,2025-04-19,8836.49697435185,9100.817484728397,57933.405713367625,57933.405713367625,0.0,0.0,0.0,34646.36812821534,0.0,0.0,34646.368128215334,0.0,34646.368128215334,20288.277830459534,16195.616583333336,1882.9995829080922,0.0,0.0,refund,0.0
2025-04-21,2025-04-20,2025-02-24,2025-04-20,9100.817484728397,8723.080400932098,61408.80908384774,61408.80908384774,0.0,0.0,0.0,36444.42642030162,0.0,0.0,36444.42642030162,0.0,36444.42642030162,18412.112498799717,15253.774499444447,9733.560701159126,0.0,0.0,refund,0.0
2025-04-22,2025-04-21,2025-02-25,2025-04-21,8723.080400932098,8549.465772240741,54790.84548954047,54790.84548954047,0.0,0.0,1021.8307864349765,32755.10953648591,0.0,0.0,32755.10953648591,7055.999092702366,39811.108629188275,18529.08821186557,15164.814617433338,295.4733648765407,0.0,0.0,refund,0.0
2025-04-23,2025-04-22,2025-02-26,2025-04-22,8549.465772240741,8689.828091351852,53133.73306513032,53133.73306513032,0.0,0.0,1999.72180963333,31850.000049746544,0.0,0.0,31850.000049746544,13625.07241884331,45475.07246858985,17563.07505735254,14099.764709255562,270.2278100000002,0.0,0.0,refund,0.0
2025-04-24,2025-04-23,2025-02-27,2025-04-23,8689.828091351852,3276.7580006851886,48534.714785253775,48534.714785253775,0.0,0.0,0.0,30114.752324734116,0.0,0.0,30114.75232473412,0.0,30114.75232473412,13102.472915034294,15484.766142777778,3826.901312997256,0.0,0.0,refund,0.0
2025-04-25,2025-04-24,2025-02-28,2025-04-24,3276.7580006851886,3169.4152486358057,25932.452062846984,25932.452062846984,0.0,0.0,0.0,13008.565614526146,0.0,0.0,13008.565614526146,0.0,13008.565614526146,12776.980298209877,10445.962518394446,21601.076633031545,0.0,0.0,refund,0.0
2025-04-26,2025-04-25,2025-03-01,2025-04-25,3169.4152486358057,8906.631001197535,32345.474463450002,32345.474463450002,0.0,0.0,0.0,15636.781878072678,0.0,0.0,15636.781878072678,0.0,15636.781878072678,19178.310553456788,10370.937370994447,23467.907647654323,0.0,0.0,refund,0.0
2025-04-27,2025-04-26,2025-03-02,2025-04-26,8906.631001197535,8667.96213988889,53639.30869793553,53639.30869793553,0.0,0.0,362.83492770000134,32108.895058289876,0.0,0.0,32108.895058289876,2531.1364556352096,34640.03151392509,19877.829700836766,16315.844032855555,1866.686774320981,0.0,0.0,refund,0.0
2025-04-28,2025-04-27,2025-03-03,2025-04-27,8667.96213988889,8901.514822172841,66017.07690348424,66017.07690348424,0.0,0.0,0.0,38677.65071728363,0.0,0.0,38677.65071728363,0.0,38677.65071728363,20053.08193436213,16032.798952777779,5374.8266052332065,0.0,0.0,refund,0.0
2025-04-29,2025-04-28,2025-03-04,2025-04-28,8901.514822172841,8924.3009595,55539.99700351166,55539.99700351166,0.0,0.0,354.47947804443965,33190.22555801975,0.0,0.0,33190.22555801975,2472.848838838011,35663.074396857766,18075.451687235938,14620.608343066671,5006.419420720162,0.0,0.0,refund,0.0
2025-04-30,2025-04-29,2025-03-05,2025-04-29,8924.3009595,8740.97050951852,52606.5745006111,52606.5745006111,0.0,0.0,0.0,31982.8051652416,0.0,0.0,31982.805165241603,0.0,31982.805165241603,18454.404515727023,15113.065062722224,1008.3806142729745,0.0,0.0,refund,0.0
2025-05-01,2025-04-30,2025-03-06,2025-04-30,8740.97050951852,1890.333938728394,48865.90450345679,48865.90450345679,0.0,0.0,1599.743656111113,30706.232010780113,0.0,0.0,30706.23201078011,10103.415323478903,40809.64733425901,12982.438684032919,16681.34824777778,3153.178923312762,0.0,0.0,refund,0.0
